,County & State,FIPS,2017,2018,2019,2020,2021
421,"Decatur County,  Georgia",13087,128036,115658,117259,117105,123687
422,"DeKalb County,  Georgia",13089,200690,217610,249964,265339,283725
423,"Dodge County,  Georgia",13091,75993,77315,81023,80569,85097
424,"Dooly County,  Georgia",13093,81701,87638,89468,87961,92904
425,"Dougherty County,  Georgia",13095,103440,103955,106720,119732,126864
426,"Douglas County,  Georgia",13097,151312,175678,181492,191481,204750
427,"Early County,  Georgia",13099,91326,87112,87330,91762,96920
428,"Echols County,  Georgia",13101,68792,58588,60958,60882,64027
429,"Effingham County,  Georgia",13103,179481,162807,167322,170616,180192
430,"Elbert County,  Georgia",13105,92221,86164,86154,89439,94466
431,"Emanuel County,  Georgia",13107,75881,82688,79206,77190,81528
432,"Evans County,  Georgia",13109,98377,88060,92140,92818,98035
433,"Fannin County,  Georgia",13111,184219,180649,198390,208868,220607
434,"Fayette County,  Georgia",13113,272997,305613,312481,321205,343463
435,"Floyd County,  Georgia",13115,130041,143608,135349,148856,156800
436,"Forsyth County,  Georgia",13117,339630,380655,374148,382648,409163
437,"Franklin County,  Georgia",13119,114941,107020,113518,114782,121233
438,"Fulton County,  Georgia",13121,311819,333495,354266,376125,402189
439,"Gilmer County,  Georgia",13123,156240,171064,182783,187432,197966
440,"Glascock County,  Georgia",13125,74202,70152,68196,86271,91120
441,"Glynn County,  Georgia",13127,185413,183281,189667,207828,217718
442,"Gordon County,  Georgia",13129,126469,125875,136179,143609,151681
443,"Grady County,  Georgia",13131,128819,116395,120252,126503,133613
444,"Greene County,  Georgia",13133,189480,185178,222012,222067,234548
445,"Gwinnett County,  Georgia",13135,207955,239610,247306,263235,281476
446,"Habersham County,  Georgia",13137,147174,144519,156061,158921,167853
447,"Hall County,  Georgia",13139,194768,209224,226292,243830,257835
448,"Hancock County,  Georgia",13141,74650,69626,85299,89756,94800
449,"Haralson County,  Georgia",13143,133831,127429,124291,130670,139725
450,"Harris County,  Georgia",13145,205435,200783,227619,227614,238212
451,"Hart County,  Georgia",13147,130499,138199,135645,145405,153577
452,"Heard County,  Georgia",13149,114047,109458,103026,114678,122625
453,"Henry County,  Georgia",13151,174014,184718,197122,199162,212963
454,"Houston County,  Georgia",13153,140280,135891,153041,161543,170261
455,"Irwin County,  Georgia",13155,89535,85531,79420,84265,89001
456,"Jackson County,  Georgia",13157,174258,196449,217844,241707,255292
457,"Jasper County,  Georgia",13159,143788,130370,130032,146662,156825
458,"Jeff Davis County,  Georgia",13161,80358,82056,81772,84265,89001
459,"Jefferson County,  Georgia",13163,72523,72891,79420,76557,80859
460,"Jenkins County,  Georgia",13165,61219,62252,71082,78668,83090
461,"Johnson County,  Georgia",13167,75657,67625,71296,67686,71490
462,"Jones County,  Georgia",13169,137119,131426,128809,129007,137059
463,"Lamar County,  Georgia",13171,160727,144202,143004,153185,163800
464,"Lanier County,  Georgia",13173,102679,104842,108668,118364,124479
465,"Laurens County,  Georgia",13175,94124,89534,94919,99893,105507
466,"Lee County,  Georgia",13177,159927,160752,156850,158399,167834
467,"Liberty County,  Georgia",13179,124830,119170,127091,136461,145798
468,"Lincoln County,  Georgia",13181,127363,121767,125597,134845,142424
469,"Long County,  Georgia",13183,106462,116203,122070,133831,142988
470,"Lowndes County,  Georgia",13185,139445,137220,150583,141954,149288
471,"Lumpkin County,  Georgia",13187,187353,185705,194114,196196,207223
472,"McDuffie County,  Georgia",13189,111241,108710,112467,113497,121231
473,"McIntosh County,  Georgia",13191,122922,121006,123069,135724,142183
474,"Macon County,  Georgia",13193,76217,64570,68090,67369,71156
475,"Madison County,  Georgia",13195,147119,132643,138918,139433,149187
476,"Marion County,  Georgia",13197,95311,88950,96963,94402,98798
477,"Meriwether County,  Georgia",13199,116116,99438,104196,108682,116212
478,"Miller County,  Georgia",13201,103525,93221,99729,94402,99708
479,"Mitchell County,  Georgia",13205,85842,86901,92140,90178,95246
480,"Monroe County,  Georgia",13207,162571,168390,170980,173499,184329
481,"Montgomery County,  Georgia",13209,84163,80581,84871,88700,93685
482,"Morgan County,  Georgia",13211,204701,219307,240291,241813,255404
483,"Murray County,  Georgia",13213,103823,98214,105605,115459,121457
484,"Muscogee County,  Georgia",13215,138262,143269,153516,146218,153027
485,"Newton County,  Georgia",13217,145296,161737,175645,169703,181463
486,"Oconee County,  Georgia",13219,282607,274885,293722,304353,325644
487,"Oglethorpe County,  Georgia",13221,145320,121953,128182,125840,134643
488,"Paulding County,  Georgia",13223,167771,185589,202119,220309,235575
489,"Peach County,  Georgia",13225,139452,132722,137462,142659,150677
490,"Pickens County,  Georgia",13227,226285,202253,197441,210630,225225
491,"Pierce County,  Georgia",13229,109680,104281,105608,110241,116437
492,"Pike County,  Georgia",13231,200683,176440,176282,182013,194625
493,"Polk County,  Georgia",13233,114829,111233,112663,116894,123463
494,"Pulaski County,  Georgia",13235,112703,117027,121321,126820,133947
495,"Putnam County,  Georgia",13237,173587,177700,176691,169375,178894
496,"Quitman County,  Georgia",13239,77448,70995,70441,63252,66806
497,"Rabun County,  Georgia",13241,180749,166218,176263,184264,194620
498,"Randolph County,  Georgia",13243,76552,70890,82627,75923,80190
499,"Richmond County,  Georgia",13245,108574,107968,115885,129045,137838
500,"Rockdale County,  Georgia",13247,169247,169688,189254,176437,188663
501,"Schley County,  Georgia",13249,102406,99857,119290,132311,139747
502,"Screven County,  Georgia",13251,90095,83109,82306,85743,90562
503,"Seminole County,  Georgia",13253,84610,81318,95667,85638,90451
504,"Spalding County,  Georgia",13255,144176,129716,147044,124568,133200
505,"Stephens County,  Georgia",13257,113150,103754,100798,111192,117441
506,"Stewart County,  Georgia",13259,58757,54563,54407,51953,54873
507,"Sumter County,  Georgia",13261,94796,87006,96522,101054,106734
508,"Talbot County,  Georgia",13263,80918,85531,85513,91234,96362
509,"Taliaferro County,  Georgia",13265,70621,62252,71724,84687,89447
510,"Tattnall County,  Georgia",13267,90206,92800,94598,94191,99485
511,"Taylor County,  Georgia",13269,64913,69310,88399,88277,93239
512,"Telfair County,  Georgia",13271,63122,58565,68410,68214,72048
513,"Terrell County,  Georgia",13273,85206,90833,105900,95474,101162
514,"Thomas County,  Georgia",13275,137773,138410,143020,155014,163726
515,"Tift County,  Georgia",13277,125797,118185,127093,124708,131717
516,"Toombs County,  Georgia",13279,100616,102701,102081,100632,106288
517,"Towns County,  Georgia",13281,195971,208458,219768,243397,257077
518,"Treutlen County,  Georgia",13283,79575,74788,75786,73283,77402
519,"Troup County,  Georgia",13285,133702,147679,147723,155964,164730
520,"Turner County,  Georgia",13287,79351,76578,79099,84160,88889
521,"Twiggs County,  Georgia",13289,60341,60026,65970,67674,71898
522,"Union County,  Georgia",13291,206939,202032,210789,207495,219157
523,"Upson County,  Georgia",13293,95802,89429,93209,98520,104057
524,"Walker County,  Georgia",13295,137172,127241,113527,141843,151538
525,"Walton County,  Georgia",13297,183095,203996,228487,237458,253913
526,"Ware County,  Georgia",13299,87968,82688,87651,87749,92681
527,"Warren County,  Georgia",13301,69726,65623,65524,69904,73833
528,"Washington County,  Georgia",13303,89983,86795,89040,89545,94577
529,"Wayne County,  Georgia",13305,102293,113024,115335,111297,117553
530,"Webster County,  Georgia",13307,51482,60251,64990,69376,73275
531,"Wheeler County,  Georgia",13309,55288,49296,67662,62090,65580
532,"White County,  Georgia",13311,174370,166324,177546,186164,196627
533,"Whitfield County,  Georgia",13313,143887,141805,138067,155331,163400
534,"Wilcox County,  Georgia",13315,72635,73523,72900,65258,68925
535,"Wilkes County,  Georgia",13317,106547,87849,86795,92079,97254
536,"Wilkinson County,  Georgia",13319,80022,72786,75144,74656,78852
537,"Worth County,  Georgia",13321,72074,87757,87754,102316,108411
538,"Hawaii County,  Hawaii",15001,347839,367048,387044,390450,411076
539,"Honolulu County,  Hawaii",15003,697610,705828,720035,736868,761962
540,"Kauai County,  Hawaii",15007,536694,596773,659930,637736,671425
541,"Maui County,  Hawaii",15009,616133,682893,661717,715211,752993
542,"Ada County,  Idaho",16001,257631,293769,329071,370651,427619
543,"Adams County,  Idaho",16003,173251,179347,189941,234480,261062
544,"Bannock County,  Idaho",16005,163344,172380,183805,188298,212075
545,"Bear Lake County,  Idaho",16007,165963,153064,161960,162993,181471
546,"Benewah County,  Idaho",16009,170623,162436,168983,181708,202308
547,"Bingham County,  Idaho",16011,168950,158773,167446,174200,193949
548,"Blaine County,  Idaho",16013,447826,420416,434307,466674,519580
549,"Boise County,  Idaho",16015,262962,212077,220970,257559,297146
550,"Bonner County,  Idaho",16017,252470,239883,256656,276588,307944
551,"Bonneville County,  Idaho",16019,189733,186880,220899,233802,264654
552,"Boundary County,  Idaho",16021,206468,195289,196525,223054,248342
553,"Butte County,  Idaho",16023,126414,119241,129041,140253,156153
554,"Camas County,  Idaho",16025,196551,186671,191148,199443,222054
555,"Canyon County,  Idaho",16027,175599,203141,211213,252016,290750
556,"Caribou County,  Idaho",16029,151267,140677,150548,158750,176747
557,"Cassia County,  Idaho",16031,157121,147463,166569,176376,196372
558,"Clark County,  Idaho",16033,116258,106315,101938,106740,118841
559,"Clearwater County,  Idaho",16035,150789,144770,156144,169630,188861
560,"Custer County,  Idaho",16037,192967,186671,194549,208474,232109
561,"Elmore County,  Idaho",16039,161662,156403,159765,167346,186317
562,"Franklin County,  Idaho",16041,192777,180087,212617,227423,251716
563,"Fremont County,  Idaho",16043,181735,169868,178200,184863,205821
564,"Gem County,  Idaho",16045,195894,170487,176621,187044,215792
565,"Gooding County,  Idaho",16047,152581,144770,157571,171698,191163
566,"Idaho County,  Idaho",16049,183647,177300,182260,188454,209819
567,"Jefferson County,  Idaho",16051,187275,181740,204462,224331,253933
568,"Jerome County,  Idaho",16053,162259,155542,169641,179097,199400
569,"Kootenai County,  Idaho",16055,227884,293030,301715,338116,392761
570,"Latah County,  Idaho",16057,228334,223187,234381,248298,276447
571,"Lemhi County,  Idaho",16059,206349,186779,187637,192589,214422
572,"Lewis County,  Idaho",16061,137765,129259,134967,143952,160271
573,"Lincoln County,  Idaho",16063,144575,137014,150329,158423,176383
574,"Madison County,  Idaho",16065,212322,205199,227688,238396,265423
575,"Minidoka County,  Idaho",16067,132627,131198,150109,162775,181229
576,"Nez Perce County,  Idaho",16069,188933,179390,198279,201729,222614
577,"Oneida County,  Idaho",16071,158316,163297,170958,181817,202429
578,"Owyhee County,  Idaho",16073,171022,144020,144468,163871,189058
579,"Payette County,  Idaho",16075,154493,149617,162838,180185,200612
580,"Power County,  Idaho",16077,139712,145682,154981,164774,185581
581,"Shoshone County,  Idaho",16079,142902,126566,136722,139164,154941
582,"Teton County,  Idaho",16081,266330,314100,348609,377126,419880
583,"Twin Falls County,  Idaho",16083,155282,174823,201792,210977,234895
584,"Valley County,  Idaho",16085,264657,277907,310533,342525,381357
585,"Washington County,  Idaho",16087,152222,160604,167008,162014,180381
586,"Adams County,  Illinois",17001,120950,130709,144457,126071,130659
587,"Alexander County,  Illinois",17003,53006,54241,56085,57398,59487
588,"Bond County,  Illinois",17005,119608,120330,127979,124212,130295
589,"Boone County,  Illinois",17007,148418,152200,159066,159799,167644
590,"Brown County,  Illinois",17009,90596,90334,93928,98602,102190
591,"Bureau County,  Illinois",17011,111503,108890,114999,114489,118655
592,"Calhoun County,  Illinois",17013,135832,115839,119412,125561,131710
593,"Carroll County,  Illinois",17015,101050,101345,106508,108749,112707
594,"Cass County,  Illinois",17017,81304,78303,81873,82818,85831
595,"Champaign County,  Illinois",17019,161148,173692,169037,167533,174658
596,"Christian County,  Illinois",17021,88484,89212,94348,93170,96560
597,"Clark County,  Illinois",17023,91018,89111,92042,94810,98260
598,"Clay County,  Illinois",17025,81304,78711,85647,86610,89762
599,"Clinton County,  Illinois",17027,150488,149264,154724,151711,159140
600,"Coles County,  Illinois",17029,96932,95636,102315,103009,106758
601,"Cook County,  Illinois",17031,246452,257583,266061,266947,277533
602,"Crawford County,  Illinois",17033,85528,84523,91203,89992,93267
603,"Cumberland County,  Illinois",17035,98621,95840,105565,108442,112388
604,"DeKalb County,  Illinois",17037,173552,176646,185900,192602,200240
605,"De Witt County,  Illinois",17039,111186,99918,105774,101984,105695
606,"Douglas County,  Illinois",17041,106118,104710,111645,114182,118337
607,"DuPage County,  Illinois",17043,313270,321251,330419,323319,336140
608,"Edgar County,  Illinois",17045,80988,81566,83970,84868,87956
609,"Edwards County,  Illinois",17047,73174,74938,80196,81280,84238
610,"Effingham County,  Illinois",17049,135367,139988,147078,147186,152542
611,"Fayette County,  Illinois",17051,87006,85644,88792,90505,93798
612,"Ford County,  Illinois",17053,97915,103270,99362,101344,105655
613,"Franklin County,  Illinois",17055,70005,71268,78099,78000,80839
614,"Fulton County,  Illinois",17057,86055,86460,90888,90812,94117
615,"Gallatin County,  Illinois",17059,69372,72899,78938,75745,78502
616,"Greene County,  Illinois",17061,80249,78405,81139,83022,86044
617,"Grundy County,  Illinois",17063,207827,195892,198896,203529,211600
618,"Hamilton County,  Illinois",17065,89435,93291,102839,95835,99322
619,"Hancock County,  Illinois",17067,88062,86765,90888,87737,90930
620,"Hardin County,  Illinois",17069,72646,64436,74954,82510,85513
621,"Henderson County,  Illinois",17071,91969,89824,95711,94297,97728
622,"Henry County,  Illinois",17073,120411,117871,123169,123189,127553
623,"Iroquois County,  Illinois",17075,101261,98694,104307,105367,109201
624,"Jackson County,  Illinois",17077,108758,110726,111540,111312,115362
625,"Jasper County,  Illinois",17079,99783,100938,104202,101984,105695
626,"Jefferson County,  Illinois",17081,92180,94514,98960,99114,102722
627,"Jersey County,  Illinois",17083,139076,141430,151276,153476,160991
628,"Jo Daviess County,  Illinois",17085,146664,146105,151585,152823,158384
629,"Johnson County,  Illinois",17087,98304,98491,104202,112234,116318
630,"Kane County,  Illinois",17089,244424,246764,255768,252344,262350
631,"Kankakee County,  Illinois",17091,139844,157344,152306,158255,167075
632,"Kendall County,  Illinois",17093,224679,248845,249010,267662,278276
633,"Knox County,  Illinois",17095,84894,83299,87114,85073,88168
